Job Name: genejc_rbm_100_iter_all_data_120824
Script: rbm_all_data_v1.py
Working SCRATCH directory is /scratch/pmc019/jceliberti/run_conda/478418
Results will be store in /group/pmc019/jceliberti/conda_results/478418
Iteration 1/100, Reconstruction Error: 12924714.0
Iteration 2/100, Reconstruction Error: 12922620.0
Iteration 3/100, Reconstruction Error: 12922586.0
Iteration 4/100, Reconstruction Error: 12922570.0
Iteration 5/100, Reconstruction Error: 12922560.0
Iteration 6/100, Reconstruction Error: 12922552.0
Iteration 7/100, Reconstruction Error: 12922546.0
Iteration 8/100, Reconstruction Error: 12922543.0
Iteration 9/100, Reconstruction Error: 12922542.0
Iteration 10/100, Reconstruction Error: 12922537.0
Iteration 11/100, Reconstruction Error: 12922533.0
Iteration 12/100, Reconstruction Error: 12922531.0
Iteration 13/100, Reconstruction Error: 12922529.0
Iteration 14/100, Reconstruction Error: 12922527.0
Iteration 15/100, Reconstruction Error: 12922526.0
Iteration 16/100, Reconstruction Error: 12922521.0
Iteration 17/100, Reconstruction Error: 12922521.0
Iteration 18/100, Reconstruction Error: 12922517.0
Iteration 19/100, Reconstruction Error: 12922515.0
Iteration 20/100, Reconstruction Error: 12922513.0
Iteration 21/100, Reconstruction Error: 12922508.0
Iteration 22/100, Reconstruction Error: 12922506.0
Iteration 23/100, Reconstruction Error: 12922504.0
Iteration 24/100, Reconstruction Error: 12922502.0
Iteration 25/100, Reconstruction Error: 12922497.0
Iteration 26/100, Reconstruction Error: 12922495.0
Iteration 27/100, Reconstruction Error: 12922493.0
Iteration 28/100, Reconstruction Error: 12922488.0
Iteration 29/100, Reconstruction Error: 12922486.0
Iteration 30/100, Reconstruction Error: 12922482.0
Iteration 31/100, Reconstruction Error: 12922479.0
Iteration 32/100, Reconstruction Error: 12922475.0
Iteration 33/100, Reconstruction Error: 12922473.0
Iteration 34/100, Reconstruction Error: 12922467.0
Iteration 35/100, Reconstruction Error: 12922465.0
Iteration 36/100, Reconstruction Error: 12922462.0
Iteration 37/100, Reconstruction Error: 12922459.0
Iteration 38/100, Reconstruction Error: 12922455.0
Iteration 39/100, Reconstruction Error: 12922453.0
Iteration 40/100, Reconstruction Error: 12922448.0
Iteration 41/100, Reconstruction Error: 12922444.0
Iteration 42/100, Reconstruction Error: 12922442.0
Iteration 43/100, Reconstruction Error: 12922437.0
Iteration 44/100, Reconstruction Error: 12922434.0
Iteration 45/100, Reconstruction Error: 12922429.0
Iteration 46/100, Reconstruction Error: 12922424.0
Iteration 47/100, Reconstruction Error: 12922421.0
Iteration 48/100, Reconstruction Error: 12922419.0
Iteration 49/100, Reconstruction Error: 12922416.0
Iteration 50/100, Reconstruction Error: 12922410.0
Iteration 51/100, Reconstruction Error: 12922408.0
Iteration 52/100, Reconstruction Error: 12922404.0
Iteration 53/100, Reconstruction Error: 12922401.0
Iteration 54/100, Reconstruction Error: 12922398.0
Iteration 55/100, Reconstruction Error: 12922394.0
Iteration 56/100, Reconstruction Error: 12922389.0
Iteration 57/100, Reconstruction Error: 12922387.0
Iteration 58/100, Reconstruction Error: 12922381.0
Iteration 59/100, Reconstruction Error: 12922379.0
Iteration 60/100, Reconstruction Error: 12922376.0
Iteration 61/100, Reconstruction Error: 12922372.0
Iteration 62/100, Reconstruction Error: 12922369.0
Iteration 63/100, Reconstruction Error: 12922366.0
Iteration 64/100, Reconstruction Error: 12922364.0
Iteration 65/100, Reconstruction Error: 12922359.0
Iteration 66/100, Reconstruction Error: 12922356.0
Iteration 67/100, Reconstruction Error: 12922353.0
Iteration 68/100, Reconstruction Error: 12922349.0
Iteration 69/100, Reconstruction Error: 12922343.0
Iteration 70/100, Reconstruction Error: 12922340.0
Iteration 71/100, Reconstruction Error: 12922337.0
Iteration 72/100, Reconstruction Error: 12922332.0
Iteration 73/100, Reconstruction Error: 12922331.0
Iteration 74/100, Reconstruction Error: 12922329.0
Iteration 75/100, Reconstruction Error: 12922326.0
Iteration 76/100, Reconstruction Error: 12922321.0
Iteration 77/100, Reconstruction Error: 12922319.0
Iteration 78/100, Reconstruction Error: 12922316.0
Iteration 79/100, Reconstruction Error: 12922312.0
Iteration 80/100, Reconstruction Error: 12922309.0
Iteration 81/100, Reconstruction Error: 12922306.0
Iteration 82/100, Reconstruction Error: 12922303.0
Iteration 83/100, Reconstruction Error: 12922299.0
Iteration 84/100, Reconstruction Error: 12922297.0
Iteration 85/100, Reconstruction Error: 12922294.0
Iteration 86/100, Reconstruction Error: 12922291.0
Iteration 87/100, Reconstruction Error: 12922288.0
Iteration 88/100, Reconstruction Error: 12922285.0
Iteration 89/100, Reconstruction Error: 12922281.0
Iteration 90/100, Reconstruction Error: 12922280.0
Iteration 91/100, Reconstruction Error: 12922277.0
Iteration 92/100, Reconstruction Error: 12922274.0
Iteration 93/100, Reconstruction Error: 12922272.0
Iteration 94/100, Reconstruction Error: 12922268.0
Iteration 95/100, Reconstruction Error: 12922265.0
Iteration 96/100, Reconstruction Error: 12922263.0
Iteration 97/100, Reconstruction Error: 12922259.0
Iteration 98/100, Reconstruction Error: 12922259.0
Iteration 99/100, Reconstruction Error: 12922253.0
Iteration 100/100, Reconstruction Error: 12922250.0
Final Reconstruction Error: 12922250.0
Conda ML gpu job finished at Mon Aug 12 14:20:54 AWST 2024
Total Runtime: 00:16:03
